symbol,company_name,avg_turnover_cr,sector
SHANKARA,Shankara Building Products Limited,3.3,
SOLEX,Solex Energy Limited,3.28,
MODIS,Modis Navnirman Limited,3.13,
MSPL,MSP Steel & Power Limited,3.13,
SANATHAN,Sanathan Textiles Limited,3.1,
NELCAST,Nelcast Limited,3.07,
VPRPL,Vishnu Prakash R Punglia Limited,3.05,
MARATHON,Marathon Nextgen Realty Limited,2.99,
LAXMIDENTL,Laxmi Dental Limited,2.95,
RPSGVENT,RPSG VENTURES LIMITED,2.93,
SIKA,Sika Interplant Systems Limited,2.93,
NAVKARCORP,Navkar Corporation Limited,2.86,
SIGNPOST,Signpost India Limited,2.86,
THEJO,Thejo Engineering Limited,2.86,
NOVARTIND,Novartis India Limited,2.84,
TVSELECT,TVS Electronics Limited,2.82,
VEEDOL,Veedol Corporation Limited,2.81,
VESUVIUS,Vesuvius India Limited,2.79,
MARKOLINES,Markolines Pavement Technologies Limited,2.67,
PRAVEG,Praveg Limited,2.64,
STUDDS,Studds Accessories Limited,2.64,
PAKKA,PAKKA LIMITED,2.61,
SHAH,Shah Metacorp Limited,2.6,
MANOMAY,Manomay Tex India Limited,2.55,
MEDICO,Medico Remedies Limited,2.54,
SINGERIND,Singer India Limited,2.52,
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,2.48,
TAKE,TAKE Limited,2.47,
VIDHIING,Vidhi Specialty Food Ingredients Limited,2.46,
KANPRPLA,Kanpur Plastipack Limited,2.44,
WPIL,WPIL Limited,2.44,
STLNETWORK,STL Networks Limited,2.43,
SIMPLEXINF,Simplex Infrastructures Limited,2.36,
SWARAJENG,Swaraj Engines Limited,2.33,
LAXMIINDIA,Laxmi India Finance Limited,2.32,
SURAJEST,Suraj Estate Developers Limited,2.26,
MIDWESTLTD,Midwest Limited,2.25,
MAXIND,Max India Limited,2.24,
GANGAFORGE,Ganga Forging Limited,2.16,
SHOPERSTOP,Shoppers Stop Limited,2.06,
OMAXAUTO,Omax Autos Limited,2.02,
PNBGILTS,PNB Gilts Limited,2.02,
RPPINFRA,R.P.P. Infra Projects Limited,2.02,
NAHARSPING,Nahar Spinning Mills Limited,1.98,
ONWARDTEC,Onward Technologies Limited,1.98,
KAYA,Kaya Limited,1.97,
KELLTONTEC,Kellton Tech Solutions Limited,1.96,
SHINDL,Sharat Industries Limited,1.96,
SUNDROP,Sundrop Brands Limited,1.95,
PDMJEPAPER,Pudumjee Paper Products Limited,1.94,
KOTHARIPET,Kothari Petrochemicals Limited,1.92,
SWELECTES,Swelect Energy Systems Limited,1.91,
STEELXIND,STEEL EXCHANGE INDIA LIMITED,1.88,
STANLEY,Stanley Lifestyles Limited,1.84,
OMPOWER,Om Power Transmission Limited,1.82,
RESPONIND,Responsive Industries Limited,1.8,
RUSHIL,Rushil Decor Limited,1.79,
PRECAM,Precision Camshafts Limited,1.76,
YUKEN,Yuken India Limited,1.72,
SPIC,Southern Petrochemicals Industries Corporation  Limited,1.71,
MUKKA,Mukka Proteins Limited,1.69,
PLATIND,Platinum Industries Limited,1.69,
ZUARIIND,ZUARI INDUSTRIES LIMITED,1.68,
SUNCLAY,Sundaram Clayton Limited,1.67,
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,1.65,
KRISHIVAL,Krishival Foods Limited,1.64,
PFS,PTC India Financial Services Limited,1.63,
ELPROINTL,Elpro International Limited,1.58,
SINDHUTRAD,Sindhu Trade Links Limited,1.52,
NITTAGELA,Nitta Gelatin India Limited,1.49,
TEXINFRA,Texmaco Infrastructure & Holdings Limited,1.47,
KUANTUM,Kuantum Papers Limited,1.44,
KMSUGAR,K.M.Sugar Mills Limited,1.4,
OMINFRAL,OM INFRA LIMITED,1.4,
RAMKY,Ramky Infrastructure Limited,1.4,
SANGAMIND,Sangam (India) Limited,1.4,
VENTIVE,Ventive Hospitality Limited,1.4,
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,1.38,
SAHYADRI,Sahyadri Industries Limited,1.37,
VASCONEQ,Vascon Engineers Limited,1.37,
KAMAHOLD,Kama Holdings Limited,1.35,
SUPREMEINF,Supreme Infrastructure India Limited,1.28,
PRIMESECU,Prime Securities Limited,1.27,
SICAGEN,Sicagen India Limited,1.27,
SILGO,Silgo Retail Limited,1.27,
MCLEODRUSS,Mcleod Russel India Limited,1.26,
TCC,TCC Concept Limited,1.26,
SNOWMAN,Snowman Logistics Limited,1.25,
NILE,Nile Limited,1.18,
RBZJEWEL,RBZ Jewellers Limited,1.15,
NRAIL,N R Agarwal Industries Limited,1.11,
TERASOFT,Tera Software Limited,1.1,
THEMISMED,Themis Medicare Limited,1.09,
KOHINOOR,Kohinoor Foods Limited,1.07,
SHALBY,Shalby Limited,1.06,
OAL,Oriental Aromatics Limited,1.05,
TPLPLASTEH,TPL Plastech Limited,1.05,
TIPSFILMS,Tips Films Limited,1.04,
MEIL,Mangal Electrical Industries Limited,1.03,
PILANIINVS,Pilani Investment and Industries Corporation Limited,1.03,
