symbol,company_name,sector,source,note
CARBORUNIV,Carborundum Universal Limited,Capital Goods,nse_official,Capital Goods
CCCL,Consolidated Construction Consortium Limited,Capital Goods,provider,Industrials
CEIGALL,Ceigall India Limited,Capital Goods,provider,Industrials
CEINSYS,Ceinsys Tech Limited,Capital Goods,provider,Industrials
CGPOWER,CG Power and Industrial Solutions Limited,Capital Goods,nse_official,Capital Goods
COCHINSHIP,Cochin Shipyard Limited,Capital Goods,nse_official,Capital Goods
COCKERILL,John Cockerill India Limited,Capital Goods,provider,Industrials
COMFINTE,Comfort Intech Limited,Capital Goods,provider,Industrials
CONTROLPR,Control Print Limited,Capital Goods,provider,Industrials
CORDSCABLE,Cords Cable Industries Limited,Capital Goods,provider,Electrical Equipment & Parts
CPPLUS,Aditya Infotech Limited,Capital Goods,nse_official,Capital Goods
CROWN,Crown Lifters Limited,Capital Goods,provider,Industrials
CUMMINSIND,Cummins India Limited,Capital Goods,nse_official,Capital Goods
CYIENTDLM,Cyient DLM Limited,Capital Goods,provider,Industrials
DATAPATTNS,Data Patterns (India) Limited,Capital Goods,nse_official,Capital Goods
DCMSIL,DCM Shriram International Limited,Capital Goods,provider,Industrials
DCXINDIA,DCX Systems Limited,Capital Goods,provider,Industrials
DEEDEV,DEE Development Engineers Limited,Capital Goods,provider,Industrials
DENORA,De Nora India Limited,Capital Goods,provider,Industrials
DENTA,Denta Water and Infra Solutions Limited,Capital Goods,provider,Industrials
DHRUV,Dhruv Consultancy Services Limited,Capital Goods,provider,Industrials
DIACABS,Diamond Power Infrastructure Limited,Capital Goods,nse_official,Capital Goods
DIFFNKG,Diffusion Engineers Limited,Capital Goods,provider,Industrials
DIGITIDE,Digitide Solutions Limited,Capital Goods,provider,Industrials
DISAQ,Disa India Limited,Capital Goods,manual,
DJML,DJ Mediaprint & Logistics Limited,Capital Goods,provider,Industrials
DREAMFOLKS,Dreamfolks Services Limited,Capital Goods,provider,Industrials
DREDGECORP,Dredging Corporation of India Limited,Capital Goods,provider,Industrials
DUCON,Ducon Infratechnologies Limited,Capital Goods,provider,Industrials
DYCL,Dynamic Cables Limited,Capital Goods,provider,Industrials
DYNAMATECH,Dynamatic Technologies Limited,Capital Goods,nse_official,Capital Goods
EIMCOELECO,Eimco Elecon (India) Limited,Capital Goods,provider,Industrials
EKC,Everest Kanto Cylinder Limited,Capital Goods,provider,Industrials
ELECON,Elecon Engineering Company Limited,Capital Goods,nse_official,Capital Goods
ELECTCAST,Electrosteel Castings Limited,Capital Goods,nse_official,Capital Goods
ELGIEQUIP,Elgi Equipments Limited,Capital Goods,nse_official,Capital Goods
ELIN,Elin Electronics Limited,Capital Goods,provider,Industrials
EMMVEE,Emmvee Photovoltaic Power Limited,Capital Goods,nse_official,Capital Goods
EMSLIMITED,EMS Limited,Capital Goods,provider,Industrials
ENRIN,Siemens Energy India Limited,Capital Goods,nse_official,Capital Goods
EPACKPEB,EPack Prefab Technologies Limited,Capital Goods,provider,Industrials
EPL,EPL Limited,Capital Goods,nse_official,Capital Goods
ESABINDIA,Esab India Limited,Capital Goods,provider,Industrials
ESCORTS,Escorts Kubota Limited,Capital Goods,nse_official,Capital Goods
ESSARSHPNG,Essar Shipping Limited,Capital Goods,provider,Industrials
EUROBOND,Euro Panel Products Limited,Capital Goods,provider,Industrials
EVEREADY,Eveready Industries India Limited,Capital Goods,provider,Industrials
EVERESTIND,Everest Industries Limited,Capital Goods,provider,Building Products & Equipment
EXICOM,Exicom Tele-Systems Limited,Capital Goods,provider,Industrials
EXXARO,Exxaro Tiles Limited,Capital Goods,provider,Industrials
FINCABLES,Finolex Cables Limited,Capital Goods,nse_official,Capital Goods
FINPIPE,Finolex Industries Limited,Capital Goods,nse_official,Capital Goods
FLAIR,Flair Writing Industries Limited,Capital Goods,provider,Industrials
FRONTSP,Frontier Springs Limited,Capital Goods,provider,Industrials
GALAPREC,Gala Precision Engineering Limited,Capital Goods,provider,Industrials
GALLANTT,Gallantt Ispat Limited,Capital Goods,nse_official,Capital Goods
GANDHITUBE,Gandhi Special Tubes Limited,Capital Goods,provider,Industrials
GARUDA,Garuda Construction and Engineering Limited,Capital Goods,provider,Industrials
GATEWAY,Gateway Distriparks Limited,Capital Goods,provider,Industrials
GEEKAYWIRE,Geekay Wires Limited,Capital Goods,provider,Industrials
GENCON,Generic Engineering Construction and Projects Limited,Capital Goods,provider,Industrials
GENUSPOWER,Genus Power Infrastructures Limited,Capital Goods,provider,Industrials
GICL,Globe International Carriers Limited,Capital Goods,provider,Industrials
GKWLIMITED,GKW Limited,Capital Goods,provider,Industrials
GLOBALVECT,Global Vectra Helicorp Limited,Capital Goods,provider,Industrials
