symbol,sector,company_name,owner_label,turnover_cr
STEELCAS,Metal,Steelcast Limited,Metals & Mining,5.06
MASFIN,Finance,MAS Financial Services Limited,Banking & Financial Services,4.99
KAPSTON,Services,Kapston Services Limited,Business Services,4.77
THOMASCOTT,Consumer Services,Thomas Scott (India) Limited,Retail & Consumer,4.7
MAGADSUGAR,Energy,Magadh Sugar & Energy Limited,"Oil, Gas & Energy",4.68
MMP,Capital Goods,MMP Industries Limited,Capital Goods & Industrial Manufacturing,4.66
RPGLIFE,Pharma,RPG Life Sciences Limited,Pharmaceuticals & Healthcare,4.63
PROSTARM,IT,Prostarm Info Systems Limited,Information Technology,4.61
PDSL,Textiles,PDS Limited,Textiles,4.59
SRM,Infra,SRM Contractors Limited,Construction & Infrastructure,4.54
ROSSARI,Pharma,Rossari Biotech Limited,Pharmaceuticals & Healthcare,4.45
RANEHOLDIN,Auto,Rane Holdings Limited,Automobile & Auto Components,4.37
UGARSUGAR,FMCG,The Ugar Sugar Works Limited,FMCG & Food,4.36
SALSTEEL,Metal,S.A.L. Steel Limited,Metals & Mining,4.35
KSL,Metal,Kalyani Steels Limited,Metals & Mining,4.27
UNIECOM,IT,Unicommerce Esolutions Limited,Information Technology,4.26
TTKHLTCARE,Pharma,TTK Healthcare Limited,Pharmaceuticals & Healthcare,4.24
RMC,Auto,RMC Switchgears Limited,Automobile & Auto Components,4.21
REPCOHOME,Finance,Repco Home Finance Limited,Banking & Financial Services,4.2
SIYSIL,Textiles,Siyaram Silk Mills Limited,Textiles,4.1
TEAMLEASE,FMCG,Teamlease Services Limited,Agriculture & Seeds,4.1
TAJGVK,Consumer Services,Taj GVK Hotels & Resorts Limited,"Hotels, Travel & Leisure",4.06
WAAREEINDO,Energy,Indosolar Limited,"Oil, Gas & Energy",4.01
SHRIRAMPPS,Realty,Shriram Properties Limited,Real Estate,3.92
SAURASHCEM,Metal,Saurashtra Cement Limited,Metals & Mining,3.84
SIGMA,IT,Sigma Solve Limited,Information Technology,3.82
JTEKTINDIA,Auto,Jtekt India Limited,Automobile & Auto Components,3.8
SALZERELEC,Capital Goods,Salzer Electronics Limited,Capital Goods & Industrial Manufacturing,3.79
KIRLOSIND,Capital Goods,Kirloskar Industries Limited,Capital Goods & Industrial Manufacturing,3.75
WELSPLSOL,IT,Welspun Specialty Solutions Limited,Information Technology,3.73
KKCL,Consumer Services,Kewal Kiran Clothing Limited,Retail & Consumer,3.71
MANBA,Finance,Manba Finance Limited,Banking & Financial Services,3.67
KCP,Capital Goods,KCP Limited,Capital Goods & Industrial Manufacturing,3.64
TNPL,Forest Materials,Tamil Nadu Newsprint & Papers Limited,Packaging & Paper,3.64
MAITHANALL,Metal,Maithan Alloys Limited,Metals & Mining,3.61
MAMATA,Capital Goods,Mamata Machinery Limited,Capital Goods & Industrial Manufacturing,3.57
NIITMTS,IT,NIIT Learning Systems Limited,Information Technology,3.55
REGAAL,FMCG,Regaal Resources Limited,FMCG & Food,3.55
TCI,Services,Transport Corporation of India Limited,Logistics & Transportation,3.52
RELTD,Energy,Ravindra Energy Limited,"Oil, Gas & Energy",3.45
ROTO,Capital Goods,Roto Pumps Limited,Capital Goods & Industrial Manufacturing,3.45
KOVAI,Pharma,Kovai Medical Center & Hospital Limited,Pharmaceuticals & Healthcare,3.42
NAVNETEDUL,Consumer Services,Navneet Education Limited,Education & Training,3.41
NIITLTD,IT,NIIT Limited,Information Technology,3.38
TAALTECH,IT,Taal Tech Limited,Information Technology,3.36
PONNIERODE,FMCG,Ponni Sugars (Erode) Limited,FMCG & Food,3.33
SPMLINFRA,Infra,SPML Infra Limited,Construction & Infrastructure,3.32
SHANKARA,Infra,Shankara Building Products Limited,Construction & Infrastructure,3.3
SOLEX,Energy,Solex Energy Limited,"Oil, Gas & Energy",3.28
MODIS,Realty,Modis Navnirman Limited,Real Estate,3.13
MSPL,Energy,MSP Steel & Power Limited,"Oil, Gas & Energy",3.13
SANATHAN,Textiles,Sanathan Textiles Limited,Textiles,3.1
NELCAST,Auto,Nelcast Limited,Automobile & Auto Components,3.07
VPRPL,Infra,Vishnu Prakash R Punglia Limited,Construction & Infrastructure,3.05
MARATHON,Realty,Marathon Nextgen Realty Limited,Real Estate,2.99
LAXMIDENTL,Pharma,Laxmi Dental Limited,Pharmaceuticals & Healthcare,2.95
RPSGVENT,Diversified,RPSG VENTURES LIMITED,Diversified,2.93
