trade_id,symbol,setup,direction,entry_price,sl,target,rr,smc_score,entry_time,exit_price,exit_time,exit_reason,gross_pnl_pts,net_pnl_pts,r_multiple,cost_pts
37,NSE:NIFTY BANK,SETUP-C,SHORT,59499.25,59677.57,59142.61,2.0,7,2026-01-14T09:45:00+05:30,59677.57,2026-01-14T11:25:00+05:30,SL,-178.32,-344.24,-1.0,165.92
38,NSE:NIFTY BANK,SETUP-A,LONG,60048.1,59551.83,61536.9,3.0,6,2026-01-16T11:05:00+05:30,60110.5,2026-01-16T15:25:00+05:30,EOD,62.4,-104.77,0.1257,167.17
39,NSE:NIFTY BANK,SETUP-A,LONG,59830.4,59703.57,60210.89,3.0,8,2026-01-19T12:15:00+05:30,59829.9,2026-01-19T15:25:00+05:30,EOD,-0.5,-167.0,-0.0039,166.5
40,NSE:NIFTY BANK,SETUP-C,LONG,58935.75,58749.54,59308.17,2.0,5,2026-01-22T11:00:00+05:30,59308.17,2026-01-22T15:25:00+05:30,TP,372.42,207.66,2.0,164.76
41,NSE:NIFTY BANK,SETUP-A,SHORT,59097.8,59282.96,58542.32,3.0,8,2026-01-23T11:20:00+05:30,58542.32,2026-01-23T13:55:00+05:30,TP,555.48,391.78,3.0,163.7
42,NSE:NIFTY BANK,SETUP-A,SHORT,58534.55,58723.98,57966.26,3.0,6,2026-01-27T11:05:00+05:30,58723.98,2026-01-27T11:40:00+05:30,SL,-189.43,-352.85,-1.0,163.42
43,NSE:NIFTY BANK,SETUP-A,SHORT,59752.75,59991.19,59037.44,3.0,8,2026-01-30T11:10:00+05:30,59577.6,2026-01-30T15:25:00+05:30,EOD,175.15,9.13,0.7346,166.02
44,NSE:NIFTY BANK,SETUP-A,SHORT,59580.55,59763.14,59032.79,3.0,5,2026-02-01T09:20:00+05:30,59763.14,2026-02-01T10:35:00+05:30,SL,-182.59,-348.73,-1.0,166.14
45,NSE:NIFTY BANK,SETUP-A,SHORT,58370.45,58682.55,57434.15,3.0,6,2026-02-02T09:35:00+05:30,58682.55,2026-02-02T15:20:00+05:30,SL,-312.1,-475.29,-1.0,163.19
46,NSE:NIFTY BANK,SETUP-A,LONG,60178.3,59978.63,60777.3,3.0,8,2026-02-04T11:25:00+05:30,60148.1,2026-02-04T15:25:00+05:30,EOD,-30.2,-197.57,-0.1512,167.37
47,NSE:NIFTY BANK,SETUP-C,SHORT,60181.2,60354.73,59834.14,2.0,8,2026-02-05T09:20:00+05:30,60055.25,2026-02-05T15:25:00+05:30,EOD,125.95,-41.27,0.7258,167.22
48,NSE:NIFTY BANK,SETUP-A,SHORT,59809.3,60006.49,59217.72,3.0,6,2026-02-06T11:15:00+05:30,60006.49,2026-02-06T11:40:00+05:30,SL,-197.19,-363.96,-1.0,166.77
49,NSE:NIFTY BANK,SETUP-C,SHORT,60570.25,60761.89,60186.97,2.0,7,2026-02-11T09:20:00+05:30,60761.89,2026-02-11T14:15:00+05:30,SL,-191.64,-360.39,-1.0,168.75
50,NSE:NIFTY BANK,SETUP-A,LONG,60789.35,60713.52,61016.84,3.0,6,2026-02-12T09:35:00+05:30,60713.52,2026-02-12T11:50:00+05:30,SL,-75.83,-244.72,-1.0,168.89
51,NSE:NIFTY BANK,SETUP-A,LONG,60421.7,60177.96,61152.92,3.0,8,2026-02-16T11:35:00+05:30,60993.2,2026-02-16T15:25:00+05:30,EOD,571.5,402.53,2.3447,168.97
52,NSE:NIFTY BANK,SETUP-A,LONG,61346.4,61191.74,61810.37,3.0,5,2026-02-18T12:35:00+05:30,61520.4,2026-02-18T15:25:00+05:30,EOD,174.0,3.25,1.125,170.75
53,NSE:NIFTY BANK,SETUP-A,LONG,60902.75,60615.86,61763.43,3.0,8,2026-02-20T09:20:00+05:30,61147.45,2026-02-20T15:25:00+05:30,EOD,244.7,75.0,0.8529,169.7
54,NSE:NIFTY BANK,SETUP-A,LONG,61481.05,61134.1,62521.89,3.0,5,2026-02-23T09:25:00+05:30,61134.1,2026-02-23T10:45:00+05:30,SL,-346.95,-517.22,-1.0,170.27
