trade_id,symbol,setup,direction,entry_price,sl,target,rr,smc_score,entry_time,exit_price,exit_time,exit_reason,gross_pnl_pts,net_pnl_pts,r_multiple,cost_pts
69,NSE:NIFTY BANK,SETUP-A,SHORT,55442.95,55591.43,54997.51,3.0,6,2025-09-19T11:00:00+05:30,55494.1,2025-09-19T15:25:00+05:30,EOD,-51.15,-206.26,-0.3445,155.11
70,NSE:NIFTY BANK,SETUP-A,SHORT,55121.35,55227.55,54802.75,3.0,6,2025-09-24T11:15:00+05:30,55227.55,2025-09-24T13:10:00+05:30,SL,-106.2,-260.56,-1.0,154.36
71,NSE:NIFTY BANK,SETUP-A,SHORT,54506.65,54693.72,53945.44,3.0,5,2025-09-29T11:15:00+05:30,54541.35,2025-09-29T15:25:00+05:30,EOD,-34.7,-187.33,-0.1855,152.63
72,NSE:NIFTY BANK,SETUP-C,LONG,54835.15,54587.8,55453.52,2.5,6,2025-10-01T09:40:00+05:30,55386.65,2025-10-01T15:25:00+05:30,EOD,551.5,397.18,2.2296,154.32
73,NSE:NIFTY BANK,SETUP-A,LONG,55465.8,55352.19,55806.63,3.0,5,2025-10-03T11:15:00+05:30,55596.95,2025-10-03T15:25:00+05:30,EOD,131.15,-24.15,1.1544,155.3
74,NSE:NIFTY BANK,SETUP-C,LONG,55807.75,55467.86,56657.47,2.5,6,2025-10-06T09:30:00+05:30,56087.6,2025-10-06T15:25:00+05:30,EOD,279.85,123.42,0.8234,156.43
75,NSE:NIFTY BANK,SETUP-C,LONG,56278.55,56043.69,56865.71,2.5,5,2025-10-07T09:35:00+05:30,56215.6,2025-10-07T15:25:00+05:30,EOD,-62.95,-220.06,-0.268,157.11
76,NSE:NIFTY BANK,SETUP-A,LONG,56019.1,55840.39,56555.23,3.0,5,2025-10-08T12:45:00+05:30,55938.35,2025-10-08T15:25:00+05:30,EOD,-80.75,-237.16,-0.4518,156.41
77,NSE:NIFTY BANK,SETUP-A,LONG,56161.2,55938.91,56828.08,3.0,6,2025-10-09T11:20:00+05:30,56124.35,2025-10-09T15:25:00+05:30,EOD,-36.85,-193.7,-0.1658,156.85
78,NSE:NIFTY BANK,SETUP-A,LONG,56641.9,56108.62,58241.73,3.0,7,2025-10-10T11:10:00+05:30,56620.95,2025-10-10T15:25:00+05:30,EOD,-20.95,-179.08,-0.0393,158.13
79,NSE:NIFTY BANK,SETUP-A,LONG,56539.2,56337.04,57145.67,3.0,7,2025-10-13T09:55:00+05:30,56633.1,2025-10-13T15:25:00+05:30,EOD,93.9,-64.15,0.4645,158.05
80,NSE:NIFTY BANK,SETUP-C,SHORT,56552.75,56666.85,56267.51,2.5,6,2025-10-14T09:40:00+05:30,56267.51,2025-10-14T12:15:00+05:30,TP,285.24,127.77,2.4999,157.47
