regime,horizon,symbol,sector,setup,setup_bucket,scan_date,entry_date,exit_date,entry,stop_loss,target,exit_price,exit_reason,return_pct,gross_return_pct,confidence,risk_dist_pct,reward_dist_pct,planned_rr
bear_down 2024-06..09,SWING,NSE:ADANIPORTS,Infra,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-06-23,2024-06-23,2024-07-11,1468.44,1137.67,2129.35,1478.76,TIME_EXIT,0.5,0.8,69.0,22.53,45.01,2.0
bear_down 2024-06..09,SWING,NSE:AARTIIND,Chemicals,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-06-23,2024-06-23,2024-07-11,699.07,557.2,777.92,702.85,TIME_EXIT,0.34,0.64,54.23,20.29,11.28,0.56
bear_down 2024-06..09,SWING,NSE:3MINDIA,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-06-23,2024-06-23,2024-07-11,36968.46,29081.62,43339.7,37974.37,TIME_EXIT,2.52,2.82,63.07,21.33,17.23,0.81
bear_down 2024-06..09,SWING,NSE:ANANTRAJ,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-06-23,2024-06-23,2024-07-11,438.06,314.83,653.99,495.56,TIME_EXIT,12.93,13.24,61.06,28.13,49.29,1.75
bear_down 2024-06..09,SWING,NSE:APLAPOLLO,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-06-23,2024-06-23,2024-07-11,1627.37,1382.89,1836.49,1529.2,TIME_EXIT,-6.23,-5.94,60.23,15.02,12.85,0.86
bear_down 2024-06..09,SWING,NSE:ANANTRAJ,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_CHOCH,CHOCH_reversal,2024-07-02,2024-07-02,2024-07-23,484.86,315.79,749.03,517.52,TIME_EXIT,6.54,6.84,95.31,34.87,54.48,1.56
bear_down 2024-06..09,SWING,NSE:ACC,Cement,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-07-02,2024-07-02,2024-07-23,2779.03,2123.93,3798.25,2607.51,TIME_EXIT,-6.37,-6.08,82.58,23.57,36.68,1.56
bear_down 2024-06..09,SWING,NSE:AMBUJACEM,Cement,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-07-02,2024-07-02,2024-07-23,692.81,511.53,1023.49,679.57,TIME_EXIT,-2.11,-1.81,63.2,26.17,47.73,1.82
bear_down 2024-06..09,SWING,NSE:3MINDIA,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-07-02,2024-07-02,2024-07-23,37857.16,29249.16,55546.2,37738.54,TIME_EXIT,-0.51,-0.21,81.65,22.74,46.73,2.05
bear_down 2024-06..09,SWING,NSE:ACI,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-07-02,2024-07-02,2024-07-23,730.84,572.79,761.63,737.62,TIME_EXIT,0.73,1.03,69.48,21.63,4.21,0.19
bear_down 2024-06..09,SWING,NSE:AFFLE,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-07-11,2024-07-11,2024-08-01,1423.71,1201.64,1837.56,1482.21,TIME_EXIT,3.91,4.21,57.25,15.6,29.07,1.86
bear_down 2024-06..09,SWING,NSE:ANANDRATHI,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-07-11,2024-07-11,2024-07-11,2085.55,1868.28,2123.12,2122.06,TARGET_HIT,1.55,1.85,54.1,10.42,1.8,0.17
bear_down 2024-06..09,SWING,NSE:ANANTRAJ,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-07-11,2024-07-11,2024-07-25,506.14,407.21,541.37,541.1,TARGET_HIT,6.71,7.01,52.78,19.55,6.96,0.36
bear_down 2024-06..09,SWING,NSE:360ONE,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-07-11,2024-07-11,2024-07-28,950.91,757.55,1046.19,1045.67,TARGET_HIT,9.76,10.07,51.5,20.33,10.02,0.49
bear_down 2024-06..09,SWING,NSE:AGI,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-07-11,2024-07-11,2024-07-11,873.33,645.04,860.04,859.61,TARGET_HIT,-1.77,-1.47,46.54,26.14,1.52,0.06
