trade_id,symbol,timeframe,direction,entry_price,sl_price,target_price,result,pnl_r,setup_type,session,notes,date,chart_image
T0027,NSE:NIFTY 50,5minute,LONG,25732.42,25687.17,25822.92,WIN,2.0004,OB_BOS,INDIA_MID,SETUP-D,2026-01-16,
T0028,NSE:NIFTY BANK,5minute,LONG,59994.53,59987.24,60009.11,LOSS,-2.0027,OB_BOS,INDIA_MID,SETUP-D,2026-01-16,
T0029,NSE:NIFTY BANK,5minute,SHORT,59620.7,60075.0,58712.1,LOSS,-1.0,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-SHORT,2026-01-16,
T0030,NSE:NIFTY 50,5minute,LONG,25536.7,25514.05,25582.0,WIN,2.0004,OB_BOS,INDIA_MID,SETUP-D,2026-01-19,
T0031,NSE:NIFTY BANK,5minute,LONG,59733.75,59644.62,59912.0,WIN,2.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-01-19,
T0032,NSE:NIFTY BANK,5minute,SHORT,59807.85,59917.82,59587.9,WIN,2.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-01-20,
T0033,NSE:NIFTY BANK,5minute,LONG,59590.85,59295.45,60181.65,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-01-20,
T0034,NSE:NIFTY BANK,5minute,LONG,59636.4,59295.45,60318.3,LOSS,-1.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-LONG,2026-01-20,
T0035,NSE:NIFTY 50,5minute,SHORT,25300.7,25393.61,25114.88,WIN,1.326,OB_BOS,INDIA_MID,SETUP-D,2026-01-21,
T0036,NSE:NIFTY BANK,5minute,LONG,58832.15,58517.03,59462.4,WIN,2.0,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-LONG,2026-01-22,
T0037,NSE:NIFTY BANK,5minute,SHORT,58695.75,59510.5,57066.25,LOSS,-1.0,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-SHORT,2026-01-22,
T0038,NSE:NIFTY BANK,5minute,LONG,59238.65,58931.35,59853.25,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-01-23,
T0039,NSE:NIFTY BANK,5minute,SHORT,59229.75,59614.22,58460.8,WIN,2.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-01-23,
T0040,NSE:NIFTY 50,5minute,LONG,25108.08,24941.12,25442.0,WIN,0.1244,OB_BOS,INDIA_MID,SETUP-D,2026-01-27,
T0041,NSE:NIFTY BANK,5minute,LONG,58727.55,58302.35,59577.95,WIN,2.0,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-LONG,2026-01-28,
T0042,NSE:NIFTY 50,5minute,LONG,25409.5,25335.95,25556.6,WIN,0.1346,OB_BOS,INDIA_MID,SETUP-D,2026-01-29,
T0043,NSE:NIFTY BANK,5minute,SHORT,59431.9,59697.65,58900.4,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-01-29,
T0044,NSE:NIFTY BANK,5minute,LONG,59661.43,59601.26,59781.77,WIN,1.9998,OB_BOS,INDIA_MID,SETUP-D,2026-01-30,
T0045,NSE:NIFTY BANK,5minute,LONG,59767.1,59489.1,60323.1,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-02-01,
T0046,NSE:NIFTY BANK,5minute,SHORT,59848.1,60094.1,59356.1,WIN,2.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-02-01,
T0047,NSE:NIFTY 50,5minute,SHORT,24795.92,24940.58,24506.6,LOSS,-1.0,OB_BOS,INDIA_MID,SETUP-D,2026-02-02,
T0048,NSE:NIFTY BANK,5minute,SHORT,58111.02,58476.98,57379.1,LOSS,-1.0,OB_BOS,INDIA_MID,SETUP-D,2026-02-02,
T0049,NSE:NIFTY BANK,5minute,SHORT,58701.05,59117.43,57868.3,WIN,2.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-02-02,
